participant;item;rt;region;type2;add;final_rt
1;1;237;de;object relative;98.8936359660864;335.893635966086
1;2;919;de;subject relative;104.176091566059;1023.17609156606
1;3;285;de;object relative;97.9645144073388;382.964514407339
1;4;262;de;subject relative;92.5050345738226;354.505034573823
1;5;335;de;object relative;92.7081029594804;427.70810295948
1;6;462;de;subject relative;99.4159252940159;561.415925294016
1;7;350;de;object relative;93.6892090620607;443.689209062061
1;8;358;de;subject relative;100.199150249655;458.199150249655
1;9;317;de;object relative;97.8590086422658;414.859008642266
1;10;261;de;subject relative;98.7382516979398;359.73825169794
1;11;398;de;object relative;100.103671761871;498.103671761871
1;13;438;de;object relative;94.8921500437532;532.892150043753
1;14;286;de;subject relative;98.0047457947928;384.004745794793
1;15;246;de;object relative;104.212164937097;350.212164937097
1;16;446;de;subject relative;92.3585973007863;538.358597300786
2;1;253;de;subject relative;106.635828312313;359.635828312313
2;2;318;de;object relative;93.5892375166409;411.589237516641
2;3;318;de;subject relative;107.241032364421;425.241032364421
2;4;406;de;object relative;96.8795176648195;502.87951766482
2;5;366;de;subject relative;92.8883923691172;458.888392369117
2;6;341;de;object relative;99.8979079052971;440.897907905297
2;7;270;de;subject relative;91.906196180566;361.906196180566
2;8;871;de;object relative;101.541440346056;972.541440346056
2;9;678;de;subject relative;103.374083233829;781.374083233829
2;10;253;de;object relative;92.1110443795195;345.11104437952
2;11;254;de;subject relative;99.0629710895996;353.0629710896
2;13;294;de;subject relative;103.226098449264;397.226098449264
2;14;318;de;object relative;106.869172015049;424.869172015049
2;15;334;de;subject relative;98.6484820392289;432.648482039229
2;16;333;de;object relative;99.1454897585678;432.145489758568
3;1;293;de;object relative;104.272536840713;397.272536840713
3;2;451;de;subject relative;96.8414725051187;547.841472505119
3;3;600;de;object relative;101.768352136621;701.768352136621
3;4;281;de;subject relative;98.8296646856399;379.82966468564
3;5;292;de;object relative;104.255129775549;396.255129775549
3;6;341;de;subject relative;99.6374952986176;440.637495298618
3;7;344;de;object relative;85.2555900839083;429.255590083908
3;8;1238;de;subject relative;105.047573117332;1343.04757311733
3;9;745;de;object relative;101.439436693272;846.439436693272
3;10;491;de;subject relative;100.812834816831;591.812834816831
3;11;373;de;object relative;109.611043190558;482.611043190558
3;13;318;de;object relative;109.299755470434;427.299755470434
3;14;1205;de;subject relative;106.404911963949;1311.40491196395
3;15;375;de;object relative;112.40013973764;487.40013973764
3;16;418;de;subject relative;100.553518300353;518.553518300353
4;1;382;de;subject relative;101.864443727215;483.864443727215
4;2;470;de;object relative;101.015610371996;571.015610371996
4;3;286;de;subject relative;105.274447050389;391.274447050389
4;4;390;de;object relative;91.2033525537143;481.203352553714
4;5;325;de;subject relative;95.319142351046;420.319142351046
4;6;355;de;object relative;103.404674579642;458.404674579642
4;7;438;de;subject relative;103.082018424781;541.082018424781
4;8;374;de;object relative;106.399101490758;480.399101490758
4;9;390;de;subject relative;99.614074571435;489.614074571435
4;10;334;de;object relative;98.2441211701046;432.244121170105
4;11;334;de;subject relative;98.9458416312321;432.945841631232
4;13;301;de;subject relative;101.561826650926;402.561826650926
4;14;462;de;object relative;96.8001795335227;558.800179533523
4;15;261;de;subject relative;102.250257969204;363.250257969204
4;16;374;de;object relative;99.9393683327006;473.939368332701
5;1;499;de;object relative;102.299434422805;601.299434422805
5;2;313;de;subject relative;99.0857867711632;412.085786771163
5;3;327;de;object relative;92.0050095871546;419.005009587155
5;4;328;de;subject relative;104.64229491673;432.64229491673
5;5;439;de;object relative;98.6877658909148;537.687765890915
5;6;294;de;subject relative;105.85310272138;399.85310272138
5;7;298;de;object relative;107.408339903745;405.408339903745
5;8;305;de;subject relative;98.7951175479789;403.795117547979
5;9;298;de;object relative;94.7396397109143;392.739639710914
5;10;533;de;subject relative;100.973551480527;633.973551480527
5;11;403;de;object relative;98.4804610096942;501.480461009694
5;13;697;de;object relative;103.543268517634;800.543268517634
5;14;281;de;subject relative;105.960172949468;386.960172949468
5;15;309;de;object relative;99.3837491955817;408.383749195582
5;16;373;de;subject relative;96.7903683048477;469.790368304848
6;1;456;de;subject relative;99.6529823020232;555.652982302023
6;2;1419;de;object relative;100.176842243292;1519.17684224329
6;3;280;de;subject relative;97.2657524298843;377.265752429884
6;4;382;de;object relative;99.1620140390398;481.16201403904
